-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 05/15/2020 through 06/17/2020 in LST
Location: Latitude  23.2523   Longitude 77.4311 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 475.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,RH2M,WS10M
2020,5,18,22,0.0,-999.0,31.56,26.64,2.8
2020,5,18,23,0.0,-999.0,30.89,28.03,2.45
2020,5,19,0,0.0,-999.0,30.53,28.64,2.14
2020,5,19,1,0.0,-999.0,29.51,30.24,2.32
2020,5,19,2,0.0,-999.0,28.07,32.07,2.89
2020,5,19,3,0.0,-999.0,27.02,32.67,3.25
2020,5,19,4,0.0,-999.0,26.11,32.88,3.39
2020,5,19,5,31.05,0.3,26.07,31.95,3.67
2020,5,19,6,204.7,0.52,28.81,26.97,5.18
2020,5,19,7,424.7,0.63,32.99,19.78,5.47
2020,5,19,8,621.58,0.67,36.55,13.25,5.94
2020,5,19,9,785.38,0.7,38.53,10.86,5.56
2020,5,19,10,953.47,0.76,39.9,9.67,5.31
2020,5,19,11,1012.15,0.77,40.83,8.97,5.38
2020,5,19,12,990.97,0.76,41.42,8.61,5.51
2020,5,19,13,916.58,0.76,41.68,8.64,5.36
2020,5,19,14,774.67,0.74,41.54,9.04,5.2
2020,5,19,15,583.95,0.71,41.01,9.74,5.14
2020,5,19,16,350.75,0.63,40.07,10.74,5.12
2020,5,19,17,127.4,0.48,38.63,11.98,4.52
2020,5,19,18,5.53,0.26,34.94,16.6,2.93
2020,5,19,19,0.0,-999.0,33.44,17.53,3.37
2020,5,19,20,0.0,-999.0,32.37,17.57,4.01
2020,5,19,21,0.0,-999.0,31.55,17.37,4.65
2020,5,19,22,0.0,-999.0,30.71,17.16,4.8
2020,5,19,23,0.0,-999.0,29.83,16.96,4.58
2020,5,20,0,0.0,-999.0,28.99,16.81,4.41
2020,5,20,1,0.0,-999.0,28.24,16.49,4.53
2020,5,20,2,0.0,-999.0,27.68,15.81,5.03
2020,5,20,3,0.0,-999.0,27.33,15.01,5.65
2020,5,20,4,0.0,-999.0,26.89,14.98,5.84
2020,5,20,5,36.8,0.36,26.96,15.18,6.05
2020,5,20,6,238.18,0.6,29.69,13.22,7.08
2020,5,20,7,479.23,0.71,33.83,10.75,6.72
2020,5,20,8,681.2,0.73,37.41,8.78,7.53
2020,5,20,9,856.83,0.76,38.87,8.18,7.29
2020,5,20,10,1000.7,0.79,40.1,7.8,7.13
2020,5,20,11,1083.35,0.82,41.23,7.59,7.1
2020,5,20,12,1068.62,0.82,42.06,7.44,7.26
2020,5,20,13,983.83,0.81,42.47,7.36,7.64
2020,5,20,14,833.75,0.8,42.36,7.38,8.16
2020,5,20,15,631.53,0.77,41.77,7.48,8.62
2020,5,20,16,395.1,0.71,40.6,7.64,8.88
2020,5,20,17,154.3,0.58,38.82,7.64,8.44
2020,5,20,18,6.78,0.3,35.1,8.37,6.01
2020,5,20,19,0.0,-999.0,32.65,8.72,5.48
2020,5,20,20,0.0,-999.0,31.12,9.41,5.19
2020,5,20,21,0.0,-999.0,30.04,10.7,5.15
2020,5,20,22,0.0,-999.0,29.13,12.37,5.14
2020,5,20,23,0.0,-999.0,28.33,14.22,5.28
2020,5,21,0,0.0,-999.0,27.48,16.1,5.4
2020,5,21,1,0.0,-999.0,26.58,17.89,5.19
2020,5,21,2,0.0,-999.0,25.69,19.63,4.6
2020,5,21,3,0.0,-999.0,24.86,21.16,3.93
2020,5,21,4,0.0,-999.0,24.26,22.24,3.61
2020,5,21,5,41.58,0.4,24.74,21.78,3.34
2020,5,21,6,246.95,0.62,29.05,16.23,4.16
2020,5,21,7,479.0,0.7,32.97,13.02,3.75
2020,5,21,8,697.28,0.75,37.17,10.52,6.51
2020,5,21,9,874.4,0.78,38.96,9.39,6.95
2020,5,21,10,899.87,0.71,40.38,8.38,7.16
2020,5,21,11,942.31,0.71,41.51,7.7,7.51
2020,5,21,12,1057.43,0.81,42.3,7.36,7.86
2020,5,21,13,970.9,0.8,42.69,7.36,8.13
2020,5,21,14,821.7,0.79,42.68,7.38,8.34
2020,5,21,15,619.75,0.75,42.22,7.5,8.35
2020,5,21,16,382.9,0.69,41.23,7.92,8.04
2020,5,21,17,145.98,0.55,39.61,8.82,6.67
2020,5,21,18,6.75,0.29,35.08,12.31,3.83
2020,5,21,19,0.0,-999.0,33.16,14.15,3.74
2020,5,21,20,0.0,-999.0,32.15,15.12,3.66
2020,5,21,21,0.0,-999.0,31.11,16.14,3.54
2020,5,21,22,0.0,-999.0,30.19,17.23,3.37
2020,5,21,23,0.0,-999.0,29.4,18.47,3.18
2020,5,22,0,0.0,-999.0,28.66,19.7,3.13
2020,5,22,1,0.0,-999.0,27.91,20.65,3.28
2020,5,22,2,0.0,-999.0,27.33,21.2,3.65
2020,5,22,3,0.0,-999.0,27.02,21.42,4.47
2020,5,22,4,0.0,-999.0,26.83,21.71,5.74
2020,5,22,5,37.75,0.36,26.92,22.54,7.39
2020,5,22,6,229.07,0.57,29.18,21.92,8.9
2020,5,22,7,466.62,0.69,32.89,22.33,10.31
2020,5,22,8,685.42,0.74,35.93,21.1,10.44
2020,5,22,9,861.4,0.76,38.53,18.07,9.62
2020,5,22,10,980.28,0.78,40.64,15.36,8.88
2020,5,22,11,1030.32,0.78,42.2,13.35,8.33
2020,5,22,12,1011.7,0.78,43.09,11.93,7.93
2020,5,22,13,927.8,0.77,43.57,11.07,7.68
2020,5,22,14,778.88,0.74,43.64,10.51,7.56
2020,5,22,15,580.9,0.7,43.23,10.3,7.36
2020,5,22,16,353.88,0.63,42.31,10.5,7.05
2020,5,22,17,137.4,0.51,40.76,11.33,6.0
2020,5,22,18,6.3,0.26,36.44,15.05,3.67
2020,5,22,19,0.0,-999.0,34.62,17.04,3.85
2020,5,22,20,0.0,-999.0,33.75,18.3,4.29
2020,5,22,21,0.0,-999.0,33.06,19.69,5.05
2020,5,22,22,0.0,-999.0,32.44,21.32,5.88
2020,5,22,23,0.0,-999.0,31.77,22.89,6.35
2020,5,23,0,0.0,-999.0,31.08,24.29,6.5
2020,5,23,1,0.0,-999.0,30.4,25.49,6.53
2020,5,23,2,0.0,-999.0,29.83,26.22,6.83
2020,5,23,3,0.0,-999.0,29.34,26.34,7.21
2020,5,23,4,0.0,-999.0,28.82,26.36,7.5
2020,5,23,5,31.78,0.3,28.62,26.06,8.1
2020,5,23,6,208.99,0.52,30.5,23.31,8.97
2020,5,23,7,426.03,0.63,33.85,20.65,9.52
2020,5,23,8,597.19,0.64,37.09,19.95,9.8
2020,5,23,9,828.45,0.74,39.53,18.88,8.97
2020,5,23,10,946.05,0.75,41.4,17.42,7.78
2020,5,23,11,1026.43,0.78,42.89,15.85,6.68
2020,5,23,12,1007.05,0.77,43.83,14.56,5.89
2020,5,23,13,919.42,0.76,44.25,13.55,5.26
2020,5,23,14,777.95,0.74,44.2,12.84,4.81
2020,5,23,15,581.88,0.71,43.74,12.55,4.61
2020,5,23,16,357.3,0.64,42.82,12.69,4.57
2020,5,23,17,139.98,0.52,41.39,13.28,4.35
2020,5,23,18,6.68,0.27,37.43,16.81,3.03
2020,5,23,19,0.0,-999.0,35.75,17.82,3.5
2020,5,23,20,0.0,-999.0,34.86,18.22,3.98
2020,5,23,21,0.0,-999.0,34.06,18.86,4.57
2020,5,23,22,0.0,-999.0,33.33,19.77,5.37
2020,5,23,23,0.0,-999.0,32.58,21.11,6.1
2020,5,24,0,0.0,-999.0,31.75,22.57,6.46
2020,5,24,1,0.0,-999.0,30.95,23.82,6.49
2020,5,24,2,0.0,-999.0,30.47,24.3,6.69
2020,5,24,3,0.0,-999.0,30.17,24.27,6.88
2020,5,24,4,0.0,-999.0,29.87,24.2,6.86
2020,5,24,5,36.08,0.33,29.74,24.15,6.95
2020,5,24,6,218.35,0.55,31.11,22.38,7.25
2020,5,24,7,442.77,0.65,34.9,18.53,7.7
2020,5,24,8,656.38,0.71,38.18,16.18,7.59
2020,5,24,9,833.22,0.74,40.37,14.81,6.59
2020,5,24,10,957.58,0.76,41.98,13.9,5.64
2020,5,24,11,1024.78,0.78,43.08,13.24,5.05
2020,5,24,12,1007.05,0.77,43.76,12.75,4.82
2020,5,24,13,920.88,0.76,44.09,12.38,4.93
2020,5,24,14,775.25,0.74,44.06,12.11,5.14
2020,5,24,15,573.7,0.69,43.57,11.92,5.39
2020,5,24,16,352.85,0.63,42.63,11.91,5.58
2020,5,24,17,133.82,0.49,41.15,12.25,5.42
2020,5,24,18,6.75,0.26,37.34,14.98,3.49
2020,5,24,19,0.0,-999.0,35.39,16.42,3.7
2020,5,24,20,0.0,-999.0,34.33,17.28,3.92
2020,5,24,21,0.0,-999.0,33.33,18.57,4.03
2020,5,24,22,0.0,-999.0,32.42,20.48,4.19
2020,5,24,23,0.0,-999.0,31.68,22.46,4.56
2020,5,25,0,0.0,-999.0,31.07,23.91,5.26
2020,5,25,1,0.0,-999.0,30.52,25.09,5.92
2020,5,25,2,0.0,-999.0,30.06,26.0,6.26
2020,5,25,3,0.0,-999.0,29.67,27.04,6.29
2020,5,25,4,0.0,-999.0,29.2,28.5,6.06
2020,5,25,5,36.6,0.34,29.12,29.52,6.16
2020,5,25,6,215.38,0.54,31.15,26.9,6.73
2020,5,25,7,439.33,0.64,35.34,21.07,7.26
2020,5,25,8,651.83,0.7,38.55,17.25,7.41
2020,5,25,9,825.65,0.73,40.32,15.61,6.43
2020,5,25,10,944.62,0.75,41.76,14.42,5.61
2020,5,25,11,1022.58,0.78,42.99,13.42,5.08
2020,5,25,12,989.28,0.76,43.8,12.74,4.84
2020,5,25,13,907.7,0.75,44.15,12.32,4.76
2020,5,25,14,768.65,0.73,44.15,12.11,4.72
2020,5,25,15,581.08,0.7,43.78,12.17,4.73
2020,5,25,16,361.98,0.64,42.92,12.61,4.74
2020,5,25,17,143.25,0.52,41.55,13.52,4.41
2020,5,25,18,7.25,0.27,37.76,17.35,2.77
2020,5,25,19,0.0,-999.0,35.98,19.31,3.0
2020,5,25,20,0.0,-999.0,35.02,20.15,3.22
2020,5,25,21,0.0,-999.0,34.12,20.85,3.49
2020,5,25,22,0.0,-999.0,33.24,21.34,3.9
2020,5,25,23,0.0,-999.0,32.42,21.81,4.43
2020,5,26,0,0.0,-999.0,31.73,21.96,5.06
2020,5,26,1,0.0,-999.0,31.09,22.1,5.49
2020,5,26,2,0.0,-999.0,30.44,22.48,5.77
2020,5,26,3,0.0,-999.0,29.8,23.07,5.85
2020,5,26,4,0.0,-999.0,29.12,24.0,5.72
2020,5,26,5,43.15,0.39,29.02,24.27,6.1
2020,5,26,6,245.75,0.61,31.14,21.61,7.01
2020,5,26,7,477.5,0.7,35.4,16.96,7.46
2020,5,26,8,690.4,0.74,38.92,13.83,7.71
2020,5,26,9,863.12,0.77,40.77,12.82,7.06
2020,5,26,10,900.33,0.72,42.26,12.05,6.38
2020,5,26,11,942.96,0.72,43.36,11.4,5.92
2020,5,26,12,931.08,0.72,44.09,10.84,5.75
2020,5,26,13,937.05,0.77,44.43,10.35,5.85
2020,5,26,14,793.35,0.76,44.42,9.97,5.87
2020,5,26,15,600.25,0.73,43.9,9.87,5.78
2020,5,26,16,375.05,0.66,42.91,10.08,5.7
2020,5,26,17,148.77,0.54,41.38,10.75,5.28
2020,5,26,18,7.59,0.27,37.21,14.12,3.39
2020,5,26,19,0.0,-999.0,35.39,16.2,3.76
2020,5,26,20,0.0,-999.0,34.54,17.6,4.21
2020,5,26,21,0.0,-999.0,33.7,18.88,4.73
2020,5,26,22,0.0,-999.0,32.88,20.01,5.29
2020,5,26,23,0.0,-999.0,32.08,21.0,5.5
2020,5,27,0,0.0,-999.0,31.26,21.96,5.27
2020,5,27,1,0.0,-999.0,30.48,22.81,4.97
2020,5,27,2,0.0,-999.0,29.81,23.73,4.96
2020,5,27,3,0.0,-999.0,29.34,24.9,5.6
2020,5,27,4,0.0,-999.0,28.91,28.12,6.36
2020,5,27,5,40.53,0.37,28.62,35.79,6.75
2020,5,27,6,230.3,0.57,30.25,40.94,8.13
2020,5,27,7,454.52,0.67,33.56,35.95,8.96
2020,5,27,8,664.55,0.72,36.89,29.14,8.51
2020,5,27,9,835.97,0.74,39.64,24.09,7.72
2020,5,27,10,952.72,0.76,41.65,20.69,7.07
2020,5,27,11,1017.88,0.77,43.12,18.39,6.72
2020,5,27,12,870.7,0.67,44.04,16.8,6.62
2020,5,27,13,882.0,0.73,44.49,15.56,6.71
2020,5,27,14,739.95,0.71,44.39,14.53,6.93
2020,5,27,15,569.47,0.69,43.92,13.68,7.23
2020,5,27,16,351.85,0.62,42.96,13.39,7.47
2020,5,27,17,139.2,0.5,41.49,13.82,7.26
2020,5,27,18,7.55,0.26,38.47,16.16,5.05
2020,5,27,19,0.0,-999.0,36.56,18.13,4.87
2020,5,27,20,0.0,-999.0,35.59,19.97,5.24
2020,5,27,21,0.0,-999.0,34.81,22.51,5.8
2020,5,27,22,0.0,-999.0,34.12,25.34,6.39
2020,5,27,23,0.0,-999.0,33.52,27.56,6.9
2020,5,28,0,0.0,-999.0,32.73,29.25,6.4
2020,5,28,1,0.0,-999.0,31.88,31.03,6.6
2020,5,28,2,0.0,-999.0,31.05,33.71,6.73
2020,5,28,3,0.0,-999.0,30.05,38.49,6.11
2020,5,28,4,0.0,-999.0,29.16,44.3,5.52
2020,5,28,5,35.33,0.32,28.77,49.61,5.77
2020,5,28,6,208.07,0.52,29.99,50.07,7.93
2020,5,28,7,426.73,0.63,32.38,42.78,8.13
2020,5,28,8,640.42,0.69,35.13,34.6,7.44
2020,5,28,9,816.12,0.73,37.6,28.87,6.54
2020,5,28,10,937.53,0.75,39.59,24.66,5.88
2020,5,28,11,996.22,0.76,41.2,21.22,5.67
2020,5,28,12,943.38,0.72,42.33,18.47,5.85
2020,5,28,13,861.1,0.71,42.98,16.47,6.19
2020,5,28,14,742.85,0.71,43.14,15.27,6.47
2020,5,28,15,558.17,0.67,42.79,14.87,6.59
2020,5,28,16,334.27,0.59,41.92,15.25,6.6
2020,5,28,17,130.0,0.47,40.58,16.59,6.25
2020,5,28,18,7.07,0.24,37.65,20.52,3.91
2020,5,28,19,0.0,-999.0,36.07,23.88,3.68
2020,5,28,20,0.0,-999.0,35.44,26.33,3.96
2020,5,28,21,0.0,-999.0,34.78,28.63,4.18
2020,5,28,22,0.0,-999.0,34.0,30.47,4.16
2020,5,28,23,0.0,-999.0,33.13,32.25,4.0
2020,5,29,0,0.0,-999.0,32.27,34.06,3.99
2020,5,29,1,0.0,-999.0,31.62,35.62,4.79
2020,5,29,2,0.0,-999.0,31.12,37.55,5.81
2020,5,29,3,0.0,-999.0,30.31,41.99,5.39
2020,5,29,4,0.0,-999.0,29.42,48.65,4.69
2020,5,29,5,29.9,0.27,28.99,54.16,4.79
2020,5,29,6,179.35,0.45,30.17,52.93,6.87
2020,5,29,7,366.2,0.54,32.37,44.17,6.81
2020,5,29,8,558.3,0.6,34.87,35.38,5.59
2020,5,29,9,714.47,0.64,37.07,29.26,4.55
2020,5,29,10,871.5,0.69,38.9,25.43,3.97
2020,5,29,11,930.67,0.71,40.4,22.64,3.74
2020,5,29,12,893.92,0.69,41.45,20.84,3.63
2020,5,29,13,855.88,0.71,42.03,19.84,3.51
2020,5,29,14,689.97,0.66,42.22,19.1,3.54
2020,5,29,15,474.17,0.57,41.91,18.69,3.6
2020,5,29,16,263.73,0.46,41.03,18.96,3.74
2020,5,29,17,104.2,0.37,39.81,19.75,3.94
2020,5,29,18,6.55,0.21,37.97,21.7,2.93
2020,5,29,19,0.0,-999.0,37.05,22.83,3.53
2020,5,29,20,0.0,-999.0,36.49,23.87,4.94
2020,5,29,21,0.0,-999.0,35.53,26.5,6.11
2020,5,29,22,0.0,-999.0,34.45,30.27,6.88
2020,5,29,23,0.0,-999.0,33.38,34.56,6.59
2020,5,30,0,0.0,-999.0,32.56,38.24,6.08
2020,5,30,1,0.0,-999.0,31.88,41.07,5.5
2020,5,30,2,0.0,-999.0,31.26,43.6,5.03
2020,5,30,3,0.0,-999.0,30.68,46.31,4.88
2020,5,30,4,0.0,-999.0,30.19,49.58,4.67
2020,5,30,5,30.62,0.27,30.03,53.39,4.98
2020,5,30,6,172.07,0.43,30.92,54.78,6.28
2020,5,30,7,371.62,0.54,32.83,47.87,5.87
2020,5,30,8,562.53,0.61,35.3,37.63,4.77
2020,5,30,9,729.83,0.65,37.11,30.3,3.44
2020,5,30,10,848.97,0.68,38.4,26.01,2.31
2020,5,30,11,911.38,0.69,39.22,23.7,2.0
2020,5,30,12,874.7,0.67,39.98,21.93,2.57
2020,5,30,13,774.45,0.64,40.4,20.89,3.39
2020,5,30,14,638.03,0.61,40.55,20.21,4.04
2020,5,30,15,488.55,0.59,40.29,19.66,4.51
2020,5,30,16,294.98,0.52,39.39,19.8,4.87
2020,5,30,17,105.53,0.37,38.27,20.23,5.04
2020,5,30,18,6.8,0.22,36.72,21.66,4.19
2020,5,30,19,0.0,-999.0,35.82,23.0,4.66
2020,5,30,20,0.0,-999.0,35.05,24.39,5.06
2020,5,30,21,0.0,-999.0,34.12,26.18,4.98
2020,5,30,22,0.0,-999.0,33.27,28.05,4.78
2020,5,30,23,0.0,-999.0,32.56,29.77,4.31
2020,5,31,0,0.0,-999.0,31.9,31.47,3.64
2020,5,31,1,0.0,-999.0,30.98,33.76,2.83
2020,5,31,2,0.0,-999.0,30.33,35.77,2.8
2020,5,31,3,0.0,-999.0,30.0,37.32,3.2
2020,5,31,4,0.0,-999.0,29.67,38.96,3.63
2020,5,31,5,31.05,0.28,29.72,39.64,4.53
2020,5,31,6,182.6,0.45,31.25,37.41,6.0
2020,5,31,7,369.0,0.54,33.09,33.72,6.78
2020,5,31,8,554.85,0.6,34.46,30.85,6.05
2020,5,31,9,758.17,0.68,35.7,28.6,5.09
2020,5,31,10,885.4,0.7,36.74,26.71,4.49
2020,5,31,11,950.6,0.72,37.78,24.73,4.23
2020,5,31,12,772.78,0.59,38.68,22.88,4.06
2020,5,31,13,662.8,0.55,39.36,21.36,3.98
2020,5,31,14,566.1,0.54,39.73,20.01,3.95
2020,5,31,15,437.15,0.53,39.61,18.98,3.96
2020,5,31,16,260.05,0.46,39.04,18.65,3.86
2020,5,31,17,103.4,0.36,37.99,19.04,3.57
2020,5,31,18,7.07,0.22,36.33,20.55,2.25
2020,5,31,19,0.0,-999.0,35.33,21.51,2.31
2020,5,31,20,0.0,-999.0,34.54,22.57,2.39
2020,5,31,21,0.0,-999.0,33.46,24.46,2.07
2020,5,31,22,0.0,-999.0,32.45,26.89,1.91
2020,5,31,23,0.0,-999.0,31.07,30.48,2.39
2020,6,1,0,0.0,-999.0,30.54,33.42,3.21
2020,6,1,1,0.0,-999.0,29.93,36.86,4.45
2020,6,1,2,0.0,-999.0,29.22,40.34,5.34
2020,6,1,3,0.0,-999.0,28.48,43.36,5.26
2020,6,1,4,0.0,-999.0,27.98,45.42,4.68
2020,6,1,5,29.48,0.26,28.0,45.84,4.45
2020,6,1,6,170.98,0.42,30.11,39.01,4.82
2020,6,1,7,359.4,0.53,32.22,32.95,4.32
2020,6,1,8,496.35,0.54,33.42,30.52,3.23
2020,6,1,9,644.9,0.57,34.67,28.63,2.22
2020,6,1,10,569.38,0.45,35.84,27.01,1.34
2020,6,1,11,563.33,0.43,36.74,25.74,0.57
2020,6,1,12,646.3,0.5,37.64,24.39,0.05
2020,6,1,13,596.7,0.49,38.09,23.69,0.24
2020,6,1,14,521.38,0.5,38.13,22.99,0.26
2020,6,1,15,410.4,0.49,38.13,22.3,0.18
2020,6,1,16,250.52,0.44,37.68,22.33,0.09
2020,6,1,17,92.28,0.32,36.83,23.46,0.16
2020,6,1,18,6.4,0.19,36.02,24.48,0.46
2020,6,1,19,0.0,-999.0,35.35,26.24,0.7
2020,6,1,20,0.0,-999.0,34.66,27.91,0.74
2020,6,1,21,0.0,-999.0,33.89,29.75,0.82
2020,6,1,22,0.0,-999.0,32.96,32.04,1.41
2020,6,1,23,0.0,-999.0,31.66,35.94,2.0
2020,6,2,0,0.0,-999.0,30.19,41.14,2.36
2020,6,2,1,0.0,-999.0,28.74,47.05,2.6
2020,6,2,2,0.0,-999.0,27.46,53.23,2.66
2020,6,2,3,0.0,-999.0,26.48,58.65,2.26
2020,6,2,4,0.0,-999.0,25.79,62.7,1.7
2020,6,2,5,23.25,0.2,25.4,65.47,1.58
2020,6,2,6,127.82,0.32,25.83,63.59,2.29
2020,6,2,7,255.18,0.37,27.06,57.81,3.5
2020,6,2,8,341.75,0.37,28.69,51.98,4.07
2020,6,2,9,403.05,0.36,30.54,46.44,4.0
2020,6,2,10,442.95,0.35,32.48,40.97,3.56
2020,6,2,11,502.8,0.38,34.04,36.27,3.01
2020,6,2,12,441.55,0.34,35.33,32.13,2.73
2020,6,2,13,259.5,0.21,36.04,29.43,2.73
